Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,C49678
"D1, D2, D3",D_SOD-123,3,SMF7.5CA,C123797
D4,0805,1,Power,C2296
J1,TerminalBlock_MetzConnect_Type086_RT03403HBLC_1x03_P3.81mm_Horizontal,1,RS485,-----
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Bias+,-----
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Bias-,-----
JP3,PinHeader_1x02_P2.54mm_Vertical,1,TERM.,-----
JP4,PinHeader_1x03_P2.54mm_Vertical,1,PWR,-----
JP5,PinHeader_1x03_P2.54mm_Vertical,1,REN select,-----
"R1, R2",0805,2,10k,C17414
"R3, R4",0805,2,2k7,C17530
R5,0805,1,120,C17437
R6,0805,1,2k2,C17520
U1,SO-8_3.9x4.9mm_P1.27mm,1,YD3082EESA,C269866
